iata,city,state,longitude,latitude,passengers,airport_id
VLD,Valdosta,GA,-83.27621944404503,30.781372222108264,44417.0,275
GTR,Columbus-Starkville-West Point,MS,-88.59138888906868,33.44827777768505,44328.0,276
SUX,Sioux City,IA,-96.38436111089649,42.402611110929044,44312.0,277
PSM,Portsmouth,NH,-70.82327777838152,43.07794444385289,43661.0,278
HOM,Homer,AK,-151.48580841710924,59.64499497189064,42539.0,279
RDD,Redding,CA,-122.2933888889348,40.50897222188526,42086.0,280
LNY,Lanai City,HI,-156.95141805621446,20.78561111095264,40548.0,281
BQK,Brunswick,GA,-81.46631583269851,31.259034694183175,40102.0,282
JLN,Joplin,MO,-94.49880777783473,37.15316833327136,39555.0,283
ABY,Albany,GA,-84.19447222234626,31.535527777669024,39542.0,284
COD,Cody,WY,-109.02380555565156,44.52019444430722,39479.0,285
HVN,New Haven,CT,-72.88680055559746,41.26374944421444,38668.0,286
SPS,Wichita Falls,TX,-98.491902777932,33.988802778228695,38290.0,287
TXK,Texarkana,AR,-93.9910277781492,33.45372222162944,37928.0,288
DBQ,Dubuque,IA,-90.70947222218297,42.40199999975576,37285.0,289
CDV,Cordova,AK,-145.47755555560397,60.49177777798953,37240.0,290
BGM,Binghamton,NY,-75.97960727836056,42.20844291715825,36268.0,291
GUC,Gunnison,CO,-106.93174999969787,38.53433333303424,36076.0,292
DLG,Dillingham,AK,-158.5054999997015,59.04466666716996,35118.0,293
CKB,Clarksburg,WV,-80.22753194393556,39.29765472220199,34010.0,294
PIR,Pierre,SD,-100.28597222234659,44.382694444107074,31564.0,295
YAK,Yakutat,AK,-139.66026805558667,59.50332333291937,30499.0,296
MEI,Meridian,MS,-88.7518611107138,32.332611111158506,29818.0,297
BJI,Bemidji,MN,-94.934722222414,47.51072222206691,28932.0,298
VQS,Isla De Vieques,PR,-65.49361666717702,18.13481111106887,28931.0,299
PLN,Pellston,MI,-84.79672222207452,45.570916667142974,28646.0,300
DUT,Unalaska,AK,-166.5450277780129,53.89894444410899,28398.0,301
ABR,Aberdeen,SD,-98.42244083335345,45.44679805624833,27738.0,302
BPT,Beaumont/Port Arthur,TX,-94.0206944436762,29.950833333320684,27625.0,303
PPG,Pago Pago,AS,-170.71150305556625,-14.331660000115411,27275.0,304
GCC,Gillette,WY,-105.53936111078494,44.34891666682092,26901.0,305
SWO,Stillwater,OK,-97.08588888867823,36.1613888892831,25646.0,306
BTM,Butte,MT,-112.49747222214843,45.95480555572721,25419.0,307
GCK,Garden City,KS,-100.72441666682072,37.92752777828776,25158.0,308
GGG,Longview,TX,-94.71150000029527,32.38400000016743,24570.0,309
RHI,Rhinelander,WI,-89.46662819357587,45.63089972188642,24291.0,310
ART,Watertown,NY,-76.0194166672503,43.99183333324417,23689.0,311
HGR,Hagerstown,MD,-77.72649999961031,39.708499999898756,23614.0,312
CMX,Hancock,MI,-88.48906083295897,47.168417222285406,23456.0,313
HOB,Hobbs,NM,-103.21733333327721,32.68750000028061,23413.0,314
OGS,Ogdensburg,NY,-75.46324999995058,44.68224999977105,23394.0,315
HYA,Hyannis,MA,-70.28036111060557,41.66933333302219,23371.0,316
MMH,Mammoth Lakes,CA,-118.83874999991787,37.62405555572832,23353.0,317
CIU,Sault Ste. Marie,MI,-84.4723888888665,46.25075000009635,23277.0,318
SMX,Santa Maria,CA,-120.45808333332992,34.89994444399607,22828.0,319
DIK,Dickinson,ND,-102.80186111120344,46.797333332934386,22669.0,320
RKS,Rock Springs,WY,-109.06519444422052,41.5942222218929,22642.0,321
ALO,Waterloo,IA,-92.40033333337456,42.557083333263826,22427.0,322
IPT,Williamsport,PA,-76.9218055560618,41.241666667238775,22283.0,323
HYS,Hays,KS,-99.27316666694412,38.84222222189847,21735.0,324
EAU,Eau Claire,WI,-91.48424999995925,44.8658055559729,21323.0,325
STC,St Cloud,MN,-94.05938888855108,45.546222221746426,20911.0,326
BRD,Brainerd,MN,-94.13380555575792,46.4042222222254,20909.0,327
PAH,Paducah,KY,-88.77295833262224,37.06028750012512,20771.0,328
IMT,Iron Mountain/Kingsford,MI,-88.11455555627369,45.8183611110665,19487.0,329
OWB,Owensboro,KY,-87.16682855583382,37.738834166827026,19454.0,330
JMS,Jamestown,ND,-98.67819444394863,46.92972222207247,19446.0,331
EKO,Elko,NV,-115.79133333296616,40.82499999997749,18214.0,332
OGD,Ogden,UT,-112.01293680597256,41.195665806114256,18202.0,333
ESC,Escanaba,MI,-87.09371666732265,45.722674999892156,17927.0,334
RIW,Riverton,WY,-108.45983333342329,43.06424999993617,17912.0,335
WST,Westerly,RI,-71.8034168332989,41.34963297209476,17615.0,336
SPB,Scappoose,OR,-122.86183333338086,45.7710277779162,17115.0,337
MKG,Muskegon,MI,-86.23543872229118,43.167671721958286,17110.0,338
LAR,Laramie,WY,-105.675000000187,41.312055556013696,16901.0,339
BID,Block Island,RI,-71.57783333286199,41.16811111105464,16766.0,340
BFF,Scottsbluff,NE,-103.59563888875452,41.8740277778397,16444.0,341
UNK,Unalakleet,AK,-160.79911111111196,63.88850000006134,16408.0,342
INL,International Falls,MN,-93.40216666736912,48.56558333282674,16218.0,343
HIB,Hibbing,MN,-92.83897222178524,47.386583332880754,15692.0,344
PIB,Hattiesburg-Laurel,MS,-89.33705555632059,31.467138888912892,15016.0,345
CDC,Cedar City,UT,-113.09886111121838,37.700972221856645,14769.0,346
CPX,Isla De Culebra,PR,-65.30388027825278,18.312948888588885,14280.0,347
SLN,Salina,KS,-97.65222222213804,38.790611110950636,14274.0,348
UIN,Quincy,IL,-91.19446336088892,39.94301738900799,14147.0,349
PUB,Pueblo,CO,-104.49802777756595,38.289944444203904,14118.0,350
SIG,San Juan,PR,-66.09847222230204,18.4567777777158,13778.0,351
SHD,Staunton/Harrisonburg,VA,-78.8964444439472,38.26383333280571,13401.0,352
SHR,Sheridan,WY,-106.98027777827022,44.76919444401874,13226.0,353
LBF,North Platte,NE,-100.68366666726831,41.12622222222927,13052.0,354
LWB,Lewisburg,WV,-80.39948249961634,37.85830666671985,13005.0,355
CCR,Concord,CA,-122.0568888886887,37.989666666946285,12826.0,356
GAL,Galena,AK,-156.93495872203198,64.73619652815759,12283.0,357
OTH,North Bend,OR,-124.24702777777831,43.41694444431833,12127.0,358
ANI,Aniak,AK,-159.5430427783914,61.58159694406074,12087.0,359
ATY,Watertown,SD,-97.15472222186544,44.91397222198717,11485.0,360
APN,Alpena,MI,-83.56030555578198,45.0780833331089,11220.0,361
PQI,Presque Isle,ME,-68.04479025031344,46.68896024987625,10783.0,362
CNY,Moab,UT,-109.75354191737148,38.757498693834044,10556.0,363
KSM,St. Mary's,AK,-163.30183333266234,62.06083333289584,10539.0,364
BFI,Seattle,WA,-122.30194444370072,47.52997222197453,10529.0,365
MWA,Marion,IL,-89.01108333311498,37.75497222166664,10465.0,366
GST,Gustavus,AK,-135.70741666663127,58.42527777792508,10335.0,367
LEB,Lebanon,NH,-72.30419444378512,43.62611111121272,10174.0,368
PRC,Prescott,AZ,-112.41922222174036,34.65483333315673,10140.0,369
PVC,Provincetown,MA,-70.22072222209927,42.07227777782504,10114.0,370
VDZ,Valdez,AK,-146.24476194409348,61.13421527778452,9950.0,371
DVL,Devils Lake,ND,-98.91000000033516,48.1165833327522,9940.0,372
FYU,Fort Yukon,AK,-145.2463333328236,66.57241666717353,9918.0,373
SDY,Sidney,MT,-104.19255555560663,47.70686111088416,9745.0,374
